,Store Hours,Total Breweries
1391,"[{""day"":""Tuesday - Thursday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 11:00 PM""},{""day"":""Sun"",""hour"":""10:00 am - 11:00 pm""},{""day"":""Tue - Thu"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Fri"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 am - 1:00 am""}]",1
1392,"[{""day"":""Friday"",""hour"":""9:00 AM - 11:00 PM""},{""day"":""Saturday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Sunday"",""hour"":""1:00 PM - 7:00 PM""}]",1
1393,"[{""day"":""Friday "",""hour"":""11:00am - 1:00am ""},{""day"":""Saturday "",""hour"":""11:00am - 1:00am ""},{""day"":""Sunday "",""hour"":""12:00pm - 12:00am ""},{""day"":""Thursday "",""hour"":""11:00am - 1:00am ""},{""day"":""Wednesday "",""hour"":""11:00am - 1:00am ""},{""day"":""Monday "",""hour"":""11:00am - 1:00am ""},{""day"":""Tuesday "",""hour"":""11:00am - 1:00am ""},{""day"":""Mon - Sun"",""hour"":""11:00 am - 12:00 am""}]",1
1394,"[{""day"":""Mon - Tue"",""hour"":""4:00 PM - 2:00 AM""}]",1
1395,"[{""day"":""Sun"",""hour"":""11:30 am - 9:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:30 am - 9:00 pm""},{""day"":""Mon - Wed"",""hour"":""11:30 AM - 11:00 PM""},{""day"":""Saturday"",""hour"":""11:30 am - 10:00 pm""}]",1
1396,"[{""day"":""Monday - Wednesday, Sunday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Thursday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Mon - Wed, Sun"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Thu - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun - Wed"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Thu - Sat"",""hour"":""11:00 am - 12:00 am""}]",1
1397,"[{""day"":""Mon - Wed"",""hour"":""2:00 pm - 9:00 pm""},{""day"":""Thu"",""hour"":""11:00 am - 9:00 pm""},{""day"":""Sun"",""hour"":""12:00 pm - 8:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 11:00 pm""}]",1
1398,"[{""day"":""Wednesday - Thursday, Sunday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 12:00 am""},{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 11:00 PM""}]",1
1399,"[{""day"":""Thu"",""hour"":""Noon - 8:00 PM""},{""day"":""Mon - Wed"",""hour"":""None""},{""day"":""Fri"",""hour"":""1:00 PM - 9:00 PM""},{""day"":""Sat"",""hour"":""1:00 PM - 8:00 PM""},{""day"":""Mon - Tue"",""hour"":""None""},{""day"":""Sun"",""hour"":""Noon - 6:00 PM""},{""day"":""Mon - Sun"",""hour"":""2:00 pm - 8:00 pm""}]",1
1400,"[{""day"":""Monday - Sunday"",""hour"":""10:00 am - 6:00 pm""},{""day"":""Wednesday"",""hour"":""2:00 PM - 5:00 PM""},{""day"":""Thursday"",""hour"":""12:00 PM - 5:00 PM""},{""day"":""Friday"",""hour"":""11:00 AM - 6:00 PM""},{""day"":""Saturday"",""hour"":""10:00 AM - 6:00 PM""},{""day"":""Sunday"",""hour"":""11:00 AM - 6:00 PM""},{""day"":""Monday"",""hour"":""2:00 PM - 3:00 PM""},{""day"":""Tuesday"",""hour"":""12:00 PM - 1:00 PM""},{""day"":""Fri"",""hour"":""11:00 AM - 6:00 PM""},{""day"":""Tue"",""hour"":""Noon - 1:00 PM""},{""day"":""Thu"",""hour"":""Noon - 5:00 PM""},{""day"":""Sat"",""hour"":""10:00 AM - 6:00 PM""},{""day"":""Mon"",""hour"":""2:00 PM - 3:00 PM""},{""day"":""Wed"",""hour"":""2:00 PM - 5:00 PM""}]",1
1401,"[{""day"":""Saturday"",""hour"":""12:00 PM - 11:00 PM""},{""day"":""Sunday"",""hour"":""1:00 PM - 10:00 PM""},{""day"":""Monday - Thursday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Friday"",""hour"":""3:00 PM - 12:00 AM""},{""day"":""Thursday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Monday - Tuesday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Mon - Thu"",""hour"":""4:00 pm - 2:00 am""},{""day"":""Fri"",""hour"":""1:00 pm - 2:00 am""},{""day"":""Wednesday - Thursday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Monday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Monday - Wednesday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Friday"",""hour"":""2:00 PM - 12:00 AM""},{""day"":""Saturday"",""hour"":""12:00 PM - 12:00 AM""}]",1
1402,"[{""day"":""Friday"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Saturday"",""hour"":""12:00 PM - 6:00 PM""},{""day"":""Sunday"",""hour"":""1:00 PM - 7:00 PM""},{""day"":""Monday"",""hour"":""10:00 AM - 7:00 PM""},{""day"":""Tuesday - Wednesday"",""hour"":""10:00 AM - 8:00 PM""},{""day"":""Thursday - Friday"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Tuesday"",""hour"":""10:00 AM - 8:00 PM""},{""day"":""Thursday"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Wednesday"",""hour"":""10:00 AM - 8:00 PM""},{""day"":""Sat"",""hour"":""Noon - 6:00 PM""},{""day"":""Thu - Fri"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Tue - Wed"",""hour"":""10:00 AM - 8:00 PM""},{""day"":""Mon"",""hour"":""10:00 AM - 7:00 PM""}]",1
1403,"[{""day"":""Wednesday - Thursday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Saturday"",""hour"":""12:00 PM - 11:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 8:00 PM""},{""day"":""Monday"",""hour"":""6:00 PM - 9:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 6:00 PM""},{""day"":""Tuesday"",""hour"":""5:00 PM - 8:00 PM""},{""day"":""Wednesday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Thursday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Tuesday"",""hour"":""5:00 PM - 7:00 PM""}]",1
1404,"[{""day"":""Wednesday"",""hour"":""11:00 AM - 1:00 PM""},{""day"":""Thursday"",""hour"":""12:00 PM - 3:00 PM""},{""day"":""Friday"",""hour"":""11:00 AM - 8:00 PM""},{""day"":""Saturday"",""hour"":""11:00 AM - 7:00 PM""},{""day"":""Sunday"",""hour"":""8:00 AM - 6:00 PM""},{""day"":""Monday"",""hour"":""1:00 PM - 5:00 PM""},{""day"":""Tuesday"",""hour"":""11:00 AM - 4:00 PM""}]",1
1405,"[{""day"":""Friday"",""hour"":""3:00 PM - 1:00 AM""},{""day"":""Saturday"",""hour"":""9:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 8:00 PM""},{""day"":""Monday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Tuesday"",""hour"":""2:00 PM - 11:00 PM""},{""day"":""Thursday"",""hour"":""5:00 PM - 11:00 PM""},{""day"":""Sunday"",""hour"":""8:00 AM - 8:00 PM""},{""day"":""Fri"",""hour"":""5:00 PM - 1:00 AM""},{""day"":""Mon"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Sun"",""hour"":""8:00 AM - 8:00 PM""},{""day"":""Sat"",""hour"":""9:00 AM - 1:00 AM""},{""day"":""Tue"",""hour"":""2:00 PM - 11:00 PM""},{""day"":""Fri"",""hour"":""3:00 PM - 1:00 AM""},{""day"":""Friday"",""hour"":""5:00 PM - 1:00 AM""},{""day"":""Thu"",""hour"":""5:00 PM - 11:00 PM""},{""day"":""Monday - Friday"",""hour"":""4:00 pm - 11:30 pm""},{""day"":""Saturday - Sunday"",""hour"":""9:00 am - 11:30 pm""}]",1
1406,"[{""day"":""Sat"",""hour"":""1:00 PM - 8:00 PM""},{""day"":""Saturday"",""hour"":""1:00 PM - 8:00 PM""},{""day"":""Fri"",""hour"":""5:00 PM - 10:00 PM""},{""day"":""Friday"",""hour"":""5:00 PM - 10:00 PM""}]",1
1407,"[{""day"":""Monday - Thursday"",""hour"":""5:00 PM - 1:00 AM""},{""day"":""Friday - Sunday"",""hour"":""4:00 PM - 1:00 AM""},{""day"":""Mon - Thu"",""hour"":""5:00 pm - 1:00 am""},{""day"":""Mon - Thu"",""hour"":""5:00 PM - 1:00 AM""},{""day"":""Fri - Sun"",""hour"":""4:00 pm - 1:00 am""},{""day"":""Fri - Sun"",""hour"":""4:00 PM - 1:00 AM""}]",1
1408,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""10:00 am - 12:00 am""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 am - 1:00 am""},{""day"":""Saturday"",""hour"":""10:00 am - 1:00 am""},{""day"":""Fri"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sun"",""hour"":""10:00 AM - Midnight""},{""day"":""Sat"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Sat"",""hour"":""11:00 AM - 8:00 PM""},{""day"":""Mon - Fri"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Sun"",""hour"":""11:00 AM - 7:00 PM""}]",1
1409,"[{""day"":""Fri - Sat"",""hour"":""11:00 am - 12:00 am""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Sun"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 10:00 PM""}]",1
1410,"[{""day"":""Sunday"",""hour"":""10:00 AM - 6:00 PM""},{""day"":""Monday"",""hour"":""2:00 PM - 3:00 PM""},{""day"":""Tuesday"",""hour"":""2:00 PM - 5:00 PM""},{""day"":""Wednesday"",""hour"":""1:00 PM - 5:00 PM""},{""day"":""Thursday"",""hour"":""1:00 PM - 7:00 PM""},{""day"":""Friday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Saturday"",""hour"":""12:00 PM - 10:00 PM""}]",1
1411,"[{""day"":""Thursday"",""hour"":""8:00 AM - 10:00 PM""},{""day"":""Friday - Saturday"",""hour"":""8:00 AM - 9:00 PM""},{""day"":""Sunday"",""hour"":""9:00 AM - 8:00 PM""},{""day"":""Monday"",""hour"":""8:00 AM - 10:00 PM""},{""day"":""Tuesday"",""hour"":""8:00 AM - 9:00 PM""},{""day"":""Friday"",""hour"":""8:00 AM - 9:00 PM""},{""day"":""Saturday"",""hour"":""8:00 AM - 9:00 PM""}]",1
1412,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 9:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 9:00 PM""},{""day"":""Sun"",""hour"":""Noon - 9:00 PM""}]",1
1413,"[{""day"":""Sun - Thu"",""hour"":""7:00 am - 11:00 pm""},{""day"":""Fri - Sat"",""hour"":""7:00 am - 12:00 am""}]",1
1414,"[{""day"":""Monday - Sunday"",""hour"":""11:30 AM - 2:00 AM""},{""day"":""Mon - Sun"",""hour"":""11:30 AM - 2:00 AM""},{""day"":""Mon - Fri"",""hour"":""11:30 am - 1:30 am""},{""day"":""Sat - Sun"",""hour"":""10:30 am - 1:30 am""},{""day"":""Mon - Sun"",""hour"":""11:30 am - 2:00 am""}]",1
1415,"[{""day"":""Tue"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Mon"",""hour"":""11:00 AM-10:00 PM""},{""day"":""Sun"",""hour"":""12:00 PM-08:00 PM""},{""day"":""Fri"",""hour"":""11:00 AM-12:00 AM""},{""day"":""Sat"",""hour"":""11:00 AM-11:00 PM""}]",1
1416,"[{""day"":""Friday - Saturday"",""hour"":""10:00 am - 12:00 am""},{""day"":""Mon - Thu"",""hour"":""10:00 am - 10:00 pm""},{""day"":""Monday - Thursday"",""hour"":""10:00 am - 10:00 pm""},{""day"":""Fri - Sat"",""hour"":""10:00 am - 12:00 am""},{""day"":""Saturday"",""hour"":""10:00 am - 12:00 am""},{""day"":""Fri - Sat"",""hour"":""10:00 am - 11:00 pm""}]",1
1417,"[{""day"":""Wed - Fri"",""hour"":""4:00 PM - 9:00 PM""},{""day"":""Sat"",""hour"":""2:00 PM - 9:00 PM""},{""day"":""Sun"",""hour"":""2:00 PM - 8:00 PM""}]",1
1418,"[{""day"":""Tuesday - Thursday, Sunday"",""hour"":""3:00 PM - 7:00 PM""},{""day"":""Friday - Saturday"",""hour"":""12:00 PM - 9:00 PM""}]",1
1419,"[{""day"":""Monday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Tuesday - Wednesday"",""hour"":""11:30 AM - 10:00 PM""},{""day"":""Thursday - Friday"",""hour"":""11:30 AM - 11:00 PM""},{""day"":""Saturday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Sunday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Tuesday - Thursday"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Friday"",""hour"":""11:00 am - 12:00 am""},{""day"":""Saturday"",""hour"":""9:00 am - 12:00 am""},{""day"":""Sunday"",""hour"":""11:00 am - 9:00 pm""},{""day"":""Sun"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Tue - Wed"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Thu"",""hour"":""11:30 am - 11:00 pm""},{""day"":""Fri"",""hour"":""11:30 am - 12:00 am""},{""day"":""Sat"",""hour"":""11:00 am - 12:00 am""}]",1
1420,"[{""day"":""Friday - Saturday"",""hour"":""12:00 PM - 10:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 8:00 PM""},{""day"":""Sun - Thu"",""hour"":""11:30 am - 9:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Saturday"",""hour"":""12:00 PM - 10:00 PM""},{""day"":""Friday"",""hour"":""12:00 PM - 10:00 PM""}]",1
1421,"[{""day"":""Monday - Saturday"",""hour"":""11:00 am - 9:00 pm""},{""day"":""Mon - Fri"",""hour"":""11:00 am - 2:00 pm""},{""day"":""Mon - Sat"",""hour"":""11:00 am - 10:00 pm""}]",1
1422,"[{""day"":""Thursday"",""hour"":""6:00 PM - 8:00 PM""},{""day"":""Friday"",""hour"":""5:00 PM - 10:00 PM""},{""day"":""Saturday"",""hour"":""1:00 PM - 10:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 8:00 PM""},{""day"":""Monday"",""hour"":""None""},{""day"":""Tuesday"",""hour"":""6:00 PM - 8:00 PM""},{""day"":""Thursday"",""hour"":""6:00 PM - 9:00 PM""},{""day"":""Monday"",""hour"":""6:00 PM - 7:00 PM""},{""day"":""Wednesday"",""hour"":""5:00 PM - 9:00 PM""},{""day"":""Monday"",""hour"":""1:00 PM - 7:00 PM""},{""day"":""Monday"",""hour"":""3:00 PM - 7:00 PM""}]",1
1423,"[{""day"":""Tuesday"",""hour"":""1:00 PM - 2:00 PM""},{""day"":""Mon - Thu"",""hour"":""9:00 am - 6:00 pm""},{""day"":""Thursday"",""hour"":""2:00 PM - 3:00 PM""},{""day"":""Fri"",""hour"":""9:00 am - 7:00 pm""},{""day"":""Saturday"",""hour"":""9:00 AM - 9:00 PM""},{""day"":""Wednesday"",""hour"":""12:00 PM - 3:00 PM""},{""day"":""Sat"",""hour"":""9:00 am - 9:00 pm""},{""day"":""Sunday"",""hour"":""10:00 AM - 6:00 PM""},{""day"":""Sun"",""hour"":""9:00 am - 6:00 pm""},{""day"":""Monday"",""hour"":""12:00 PM - 4:00 PM""}]",1
1424,"[{""day"":""Sun"",""hour"":""9:00 am - 10:00 pm""},{""day"":""Tue - Wed"",""hour"":""4:00 pm - 11:00 pm""},{""day"":""Thu - Fri"",""hour"":""4:00 pm - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 am - 1:30 am""},{""day"":""Sat"",""hour"":""9:30 AM - 1:00 AM""},{""day"":""Fri"",""hour"":""4:00 PM - 1:00 AM""},{""day"":""Sun"",""hour"":""9:30 AM - 10:00 PM""},{""day"":""Tue - Wed"",""hour"":""4:00 PM - Midnight""},{""day"":""Thu"",""hour"":""4:00 PM - 12:30 AM""}]",1
1425,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Sat"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sun"",""hour"":""11:00 am - 12:00 am""},{""day"":""Mon - Sun"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""11:00 am - 1:00 am""}]",1
1426,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Sunday"",""hour"":""9:30 AM - 9:00 PM""},{""day"":""Mon - Fri"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Sun"",""hour"":""9:00 am - 9:00 pm""},{""day"":""Sun"",""hour"":""9:30 AM - 9:00 PM""},{""day"":""Sat"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun"",""hour"":""9:00 AM - 9:00 PM""}]",1
1427,"[{""day"":""Fri - Sat"",""hour"":""9:00 AM - 11:00 PM""},{""day"":""Mon - Thu, Sun"",""hour"":""9:00 AM - 10:00 PM""}]",1
1428,"[{""day"":""Tuesday"",""hour"":""None""},{""day"":""Wednesday"",""hour"":""8:00 PM - 9:00 PM""},{""day"":""Thursday"",""hour"":""5:00 PM - 8:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 7:00 PM""},{""day"":""Friday"",""hour"":""4:00 pm - 9:00 pm""},{""day"":""Saturday"",""hour"":""12:00 pm - 5:00 pm""},{""day"":""Sunday"",""hour"":""12:00 pm - 4:00 pm""},{""day"":""Monday"",""hour"":""None""},{""day"":""Monday - Tuesday"",""hour"":""None""}]",1
1429,"[{""day"":""Thursday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Thu"",""hour"":""11:00 AM - 10:00 PM""}]",1
1430,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:30 AM - 10:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:30 AM - 11:00 PM""},{""day"":""Sun - Fri"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Sat"",""hour"":""11:30 am - 11:00 pm""},{""day"":""Fri"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Sun"",""hour"":""11:30 am - 9:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:30 am - 9:00 pm""}]",1
1431,"[{""day"":""Wednesday"",""hour"":""5:00 pm - 9:00 pm""},{""day"":""Thursday"",""hour"":""5:00 pm - 10:00 pm""},{""day"":""Saturday"",""hour"":""12:00 pm - 10:00 pm""},{""day"":""Sunday"",""hour"":""12:00 pm - 8:00 pm""}]",1
1432,"[{""day"":""Tuesday"",""hour"":""4:00 PM - 7:00 PM""},{""day"":""Friday"",""hour"":""2:00 PM - 12:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sunday"",""hour"":""1:00 PM - 9:00 PM""},{""day"":""Monday"",""hour"":""8:00 PM - 9:00 PM""},{""day"":""Monday"",""hour"":""None""},{""day"":""Tuesday"",""hour"":""6:00 PM - 7:00 PM""},{""day"":""Sunday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Wednesday"",""hour"":""4:00 PM - 12:00 AM""}]",1
1433,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 1:30 AM""},{""day"":""Sun - Sat"",""hour"":""11:00 am - 1:30 am""}]",1
1434,"[{""day"":""Monday - Thursday"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Friday - Saturday"",""hour"":""11:00 am - 12:00 am""},{""day"":""Sunday"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Sunday"",""hour"":""12:00 PM - 11:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun"",""hour"":""Noon - 11:00 PM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 11:00 PM""}]",1
1435,"[{""day"":""Sun"",""hour"":""12:00 pm - 10:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 12:00 am""},{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Sunday"",""hour"":""12:00 PM - 11:59 PM""}]",1
1436,"[{""day"":""Tuesday - Thursday"",""hour"":""11:30 AM - 11:00 PM""},{""day"":""Friday"",""hour"":""11:30 AM - 12:00 AM""},{""day"":""Saturday"",""hour"":""12:00 PM - 12:00 AM""},{""day"":""Sunday"",""hour"":""12:00 PM - 10:00 PM""},{""day"":""Sun"",""hour"":""12:00 PM-10:00 PM""},{""day"":""Fri"",""hour"":""11:30 AM-00:00 AM""},{""day"":""Sat"",""hour"":""Noon - Midnight""},{""day"":""Sun"",""hour"":""Noon - 10:00 PM""},{""day"":""Fri"",""hour"":""11:30 AM - Midnight""},{""day"":""Sat"",""hour"":""12:00 PM-00:00 AM""},{""day"":""Tue - Thu"",""hour"":""11:30 AM - 11:00 PM""}]",1
1437,"[{""day"":""Monday - Thursday"",""hour"":""11:30 AM - 10:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:30 AM - 11:00 PM""},{""day"":""Sunday"",""hour"":""11:30 AM - 9:00 PM""},{""day"":""Monday - Thursday"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Friday - Saturday"",""hour"":""11:30 am - 11:00 pm""},{""day"":""Sunday"",""hour"":""11:30 am - 9:00 pm""}]",1
1438,"[{""day"":""Mon - Sat"",""hour"":""11:00 am - 7:00 pm""}]",1
1439,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Friday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Saturday"",""hour"":""10:00 AM - 11:00 PM""},{""day"":""Sunday"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Sun"",""hour"":""10:00 am - 9:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Fri"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Sat"",""hour"":""10:00 am - 11:00 pm""},{""day"":""Sun"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Sat"",""hour"":""10:00 AM - 11:00 PM""},{""day"":""Fri"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 10:00 PM""}]",1
1440,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""9:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""9:00 AM - 11:00 PM""},{""day"":""Fri"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sun"",""hour"":""9:00 AM - 11:00 PM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Sat"",""hour"":""9:00 AM - 1:00 AM""},{""day"":""Sun"",""hour"":""9:00 am - 11:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""9:00 am - 1:00 am""}]",1
1441,"[{""day"":""Tue - Wed"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Thursday"",""hour"":""4:00 PM - 12:00 AM""},{""day"":""Sunday"",""hour"":""1:00 PM - 10:00 PM""},{""day"":""Tuesday - Wednesday"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Sun"",""hour"":""1:00 PM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:30 AM - Midnight""},{""day"":""Friday - Saturday"",""hour"":""11:30 AM - 12:00 AM""},{""day"":""Saturday"",""hour"":""11:30 am - 12:00 am""},{""day"":""Thu"",""hour"":""4:00 PM - Midnight""},{""day"":""Tue - Thu"",""hour"":""4:00 PM - 10:00 PM""}]",1
1442,"[{""day"":""Mon - Thu"",""hour"":""4:00 PM - 10:00 PM""},{""day"":""Sunday"",""hour"":""4:00 AM - 8:00 PM""},{""day"":""Friday - Saturday"",""hour"":""4:00 PM - 12:00 AM""},{""day"":""Fri - Sat"",""hour"":""4:00 PM - Midnight""},{""day"":""Sun"",""hour"":""4:00 AM - 8:00 PM""},{""day"":""Monday - Thursday"",""hour"":""4:00 PM - 10:00 PM""}]",1
1443,"[{""day"":""Wednesday"",""hour"":""4:00 PM - 5:00 PM""},{""day"":""Thursday"",""hour"":""2:00 PM - 5:00 PM""},{""day"":""Friday"",""hour"":""12:00 PM - 5:00 PM""},{""day"":""Saturday - Sunday"",""hour"":""11:00 AM - 6:00 PM""},{""day"":""Monday"",""hour"":""2:00 PM - 4:00 PM""},{""day"":""Tuesday"",""hour"":""None""},{""day"":""Saturday"",""hour"":""11:00 AM - 6:00 PM""},{""day"":""Tuesday - Wednesday"",""hour"":""None""},{""day"":""Wednesday"",""hour"":""None""},{""day"":""Thu"",""hour"":""2:00 PM - 5:00 PM""},{""day"":""Sat"",""hour"":""11:00 AM - 7:00 PM""},{""day"":""Tue - Wed"",""hour"":""None""},{""day"":""Mon"",""hour"":""2:00 PM - 3:00 PM""},{""day"":""Fri"",""hour"":""Noon - 5:00 PM""},{""day"":""Mon - Fri"",""hour"":""11:30 am - 5:30 pm""},{""day"":""Sun"",""hour"":""11:00 AM - 6:00 PM""},{""day"":""Tue"",""hour"":""None""},{""day"":""Sun"",""hour"":""11:30 am - 5:30 pm""},{""day"":""Sat"",""hour"":""11:00 am - 5:30 pm""}]",1
