,Store Hours,Total Breweries
44,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 5:00 PM""},{""day"":""Mon - Sun"",""hour"":""11:00 AM - 5:00 PM""}]",3
45,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sun - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 1:00 am""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""}]",3
46,"[{""day"":""Sun"",""hour"":""12:00 PM-09:00 PM""}]",3
47,"[{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""}]",3
48,"[{""day"":""Saturday"",""hour"":""10:00 am - 1:00 am""}]",3
49,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Sunday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Sun"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 11:00 PM""}]",3
50,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 10:00 PM""}]",3
51,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Sun - Sat"",""hour"":""11:00 am - 12:00 am""}]",3
52,"[{""day"":""Monday - Sunday"",""hour"":""10:00 AM - 4:30 PM""},{""day"":""Mon - Sun"",""hour"":""10:00 AM - 4:30 PM""}]",3
53,"[{""day"":""Saturday"",""hour"":""11:00 am - 10:00 pm""}]",3
54,"[{""day"":""Mon - Sun"",""hour"":""10:00 am - 5:00 pm""}]",3
55,"[{""day"":""Mon - Sun"",""hour"":""Noon - 5:00 PM""}]",3
56,"[{""day"":""Wednesday - Sunday"",""hour"":""11:00 am - 7:00 pm""}]",3
57,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 11:00 PM""}]",3
58,"[{""day"":""Saturday"",""hour"":""11:00 am - 11:00 pm""}]",3
59,"[{""day"":""Fri - Sat"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 9:00 PM""}]",3
60,"[{""day"":""Sun"",""hour"":""12:00 PM-05:00 PM""}]",3
